Date,Week,Region,Brand,Category,Subcategory,Revenue,COGS,Gross_Profit,Operating_Expenses,Operating_Income,Units,Gross_Margin_Percentage,Operating_Margin_Percentage
2021-01-30,1,Canada,American Eagle,Womens Apparel,Others,2215367.8,1410164.66,805203.14,608932.38,196270.76,57479,36.35,8.86
2021-01-30,1,Canada,American Eagle,Womens Apparel,Tops,3240488.57,2061501.2,1178987.37,874818.04,304169.33,66685,36.38,9.39
2021-01-30,1,United States,Aerie,Accessories,N/A,1964329.26,1092528.99,871800.27,563026.4,308773.87,65557,44.38,15.72
2021-01-30,1,United States,Aerie,Activewear,N/A,5199289.99,3039120.14,2160169.85,1399842.11,760327.75,171303,41.55,14.62
2021-01-30,1,United States,Aerie,Intimates,N/A,8059201.79,4404939.15,3654262.64,2237935.84,1416326.79,261406,45.34,17.57
2021-01-30,1,United States,Aerie,Swim,N/A,3092562.94,1757681.48,1334881.46,920825.98,414055.48,86059,43.16,13.39
2021-01-30,1,United States,Aerie,Tops,N/A,3326943.77,2180015.84,1146927.92,953108.44,193819.48,127379,34.47,5.83
2021-01-30,1,United States,American Eagle,Mens Apparel,Accessories,7788266.64,4441310.63,3346956.01,2229663.5,1117292.51,217289,42.97,14.35
2021-01-30,1,United States,American Eagle,Mens Apparel,Active Bottoms,6705947.61,4147505.59,2558442.02,1527272.99,1031169.03,187188,38.15,15.38
2021-01-30,1,United States,American Eagle,Mens Apparel,Jeans,12643052.17,7252332.32,5390719.85,3610613.28,1780106.57,286291,42.64,14.08
2021-01-30,1,United States,American Eagle,Mens Apparel,Others,6612090.68,4580806.26,2031284.42,1768142.48,263141.94,164134,30.72,3.98
2021-01-30,1,United States,American Eagle,Mens Apparel,Tops,13051740.32,8214628.16,4837112.17,3796114.35,1040997.82,388023,37.06,7.98
2021-01-30,1,United States,American Eagle,Womens Apparel,Accessories,6949139.37,3767913.86,3181225.52,1769929.24,1411296.27,172002,45.78,20.31
2021-01-30,1,United States,American Eagle,Womens Apparel,Dresses,6660300.96,3798169.46,2862131.5,1723990.81,1138140.69,217034,42.97,17.09
2021-01-30,1,United States,American Eagle,Womens Apparel,Jeans,15074901.62,8907573.26,6167328.36,4254415.4,1912912.96,357641,40.91,12.69
2021-01-30,1,United States,American Eagle,Womens Apparel,Others,7888993.33,5337406.68,2551586.65,2239978.87,311607.78,159723,32.34,3.95
2021-01-30,1,United States,American Eagle,Womens Apparel,Tops,11142352.8,6697124.56,4445228.24,3184714.86,1260513.38,287151,39.89,11.31
2021-02-06,2,Canada,Aerie,Accessories,N/A,809445.64,474148.92,335296.73,232429.15,102867.57,23903,41.42,12.71
2021-02-06,2,Canada,Aerie,Activewear,N/A,2110559.86,1103707.51,1006852.35,615054.73,391797.62,59403,47.71,18.56
2021-02-06,2,Canada,Aerie,Intimates,N/A,3198403.27,1739646.78,1458756.49,912005.98,546750.51,82649,45.61,17.09
2021-02-06,2,Canada,Aerie,Swim,N/A,1111236.31,649780.29,461456.02,300359.1,161096.93,34743,41.53,14.5
2021-02-06,2,Canada,Aerie,Tops,N/A,1341065.41,825230.07,515835.34,380223.72,135611.62,44598,38.46,10.11
2021-02-06,2,Canada,American Eagle,Mens Apparel,Accessories,2571249.15,1363935.57,1207313.58,722108.59,485205.0,76657,46.95,18.87
2021-02-06,2,Canada,American Eagle,Mens Apparel,Active Bottoms,2998314.44,1814859.15,1183455.29,1002646.49,180808.79,88433,39.47,6.03
2021-02-06,2,Canada,American Eagle,Mens Apparel,Jeans,5925395.68,3465809.93,2459585.75,1569787.09,889798.66,167838,41.51,15.02
2021-02-06,2,Canada,American Eagle,Mens Apparel,Others,2806194.01,1836567.71,969626.31,825806.8,143819.5,92585,34.55,5.13
2021-02-06,2,Canada,American Eagle,Mens Apparel,Tops,5158760.0,3223151.41,1935608.59,1569231.03,366377.56,128799,37.52,7.1
2021-02-06,2,Canada,American Eagle,Womens Apparel,Accessories,3346851.31,1836871.9,1509979.41,860611.33,649368.07,70389,45.12,19.4
2021-02-06,2,Canada,American Eagle,Womens Apparel,Dresses,3047295.22,1731322.07,1315973.15,891643.15,424330.0,95396,43.18,13.92
2021-02-06,2,Canada,American Eagle,Womens Apparel,Jeans,5619865.02,3176309.4,2443555.62,1522706.67,920848.95,149060,43.48,16.39
2021-02-06,2,Canada,American Eagle,Womens Apparel,Others,3093484.44,1944799.51,1148684.92,806842.11,341842.81,86237,37.13,11.05
2021-02-06,2,Canada,American Eagle,Womens Apparel,Tops,5110569.15,3214191.78,1896377.37,1518493.07,377884.3,153057,37.11,7.39
2021-02-06,2,United States,Aerie,Accessories,N/A,2025485.98,1147262.9,878223.08,606162.17,272060.91,58096,43.36,13.43
2021-02-06,2,United States,Aerie,Activewear,N/A,4695166.53,2795850.7,1899315.83,1394220.45,505095.39,186775,40.45,10.76
2021-02-06,2,United States,Aerie,Intimates,N/A,6684726.36,3636894.27,3047832.09,1905212.9,1142619.18,193030,45.59,17.09
2021-02-06,2,United States,Aerie,Swim,N/A,2851783.85,1612141.87,1239641.98,744059.08,495582.9,99856,43.47,17.38
2021-02-06,2,United States,Aerie,Tops,N/A,2802566.93,1777631.85,1024935.08,889297.9,135637.18,80581,36.57,4.84
2021-02-06,2,United States,American Eagle,Mens Apparel,Accessories,6473889.18,3688891.5,2784997.68,1739366.0,1045631.69,210085,43.02,16.15
2021-02-06,2,United States,American Eagle,Mens Apparel,Active Bottoms,7327260.59,4192317.68,3134942.91,1922579.27,1212363.64,156880,42.78,16.55
2021-02-06,2,United States,American Eagle,Mens Apparel,Jeans,13285611.38,7707615.6,5577995.78,3923851.34,1654144.45,293718,41.99,12.45
2021-02-06,2,United States,American Eagle,Mens Apparel,Others,7520894.44,4757177.91,2763716.53,2107225.92,656490.61,217808,36.75,8.73
2021-02-06,2,United States,American Eagle,Mens Apparel,Tops,9476342.07,5725410.3,3750931.77,2481022.45,1269909.33,253678,39.58,13.4
2021-02-06,2,United States,American Eagle,Womens Apparel,Accessories,7300715.39,3644639.38,3656076.01,1996819.99,1659256.03,152274,50.08,22.73
2021-02-06,2,United States,American Eagle,Womens Apparel,Dresses,5855591.74,3242414.8,2613176.94,1495416.91,1117760.03,126349,44.63,19.09
2021-02-06,2,United States,American Eagle,Womens Apparel,Jeans,12379295.66,7443002.92,4936292.74,3583457.6,1352835.14,282511,39.88,10.93
2021-02-06,2,United States,American Eagle,Womens Apparel,Others,6292229.29,4057244.19,2234985.09,1860212.38,374772.72,171074,35.52,5.96
2021-02-06,2,United States,American Eagle,Womens Apparel,Tops,11371930.97,7087200.57,4284730.39,3095834.35,1188896.04,352405,37.68,10.45
2021-02-13,3,Canada,Aerie,Accessories,N/A,816303.06,430120.63,386182.44,220771.09,165411.34,20819,47.31,20.26
2021-02-13,3,Canada,Aerie,Activewear,N/A,2188961.14,1319814.74,869146.4,576769.49,292376.9,80639,39.71,13.36
2021-02-13,3,Canada,Aerie,Intimates,N/A,2458126.74,1386341.53,1071785.22,687842.02,383943.2,73944,43.6,15.62
2021-02-13,3,Canada,Aerie,Swim,N/A,1226000.31,723510.43,502489.88,331730.22,170759.66,46664,40.99,13.93
2021-02-13,3,Canada,Aerie,Tops,N/A,1158225.74,703880.62,454345.12,355757.86,98587.26,43678,39.23,8.51
2021-02-13,3,Canada,American Eagle,Mens Apparel,Accessories,3015959.0,1605892.33,1410066.67,877748.84,532317.83,65370,46.75,17.65
2021-02-13,3,Canada,American Eagle,Mens Apparel,Active Bottoms,3104217.95,1806679.69,1297538.26,888259.52,409278.74,69443,41.8,13.18
2021-02-13,3,Canada,American Eagle,Mens Apparel,Jeans,6815989.56,3914969.19,2901020.37,1823590.81,1077429.56,216905,42.56,15.81
2021-02-13,3,Canada,American Eagle,Mens Apparel,Others,2990072.44,1944797.03,1045275.41,844236.63,201038.78,79862,34.96,6.72
2021-02-13,3,Canada,American Eagle,Mens Apparel,Tops,5839138.55,3674514.97,2164623.58,1562292.21,602331.36,132904,37.07,10.32
2021-02-13,3,Canada,American Eagle,Womens Apparel,Accessories,3021303.92,1655856.07,1365447.85,881928.1,483519.75,70861,45.19,16.0
2021-02-13,3,Canada,American Eagle,Womens Apparel,Dresses,3141639.06,1737076.66,1404562.4,862628.71,541933.69,64113,44.71,17.25
2021-02-13,3,Canada,American Eagle,Womens Apparel,Jeans,6006489.56,3344180.66,2662308.9,1868361.8,793947.11,133208,44.32,13.22
2021-02-13,3,Canada,American Eagle,Womens Apparel,Others,2641842.6,1740803.8,901038.8,803380.26,97658.54,58645,34.11,3.7
2021-02-13,3,Canada,American Eagle,Womens Apparel,Tops,5128619.99,3045838.3,2082781.69,1438168.01,644613.68,140892,40.61,12.57
2021-02-13,3,United States,Aerie,Accessories,N/A,2452337.2,1444529.01,1007808.19,679209.85,328598.34,62213,41.1,13.4
2021-02-13,3,United States,Aerie,Activewear,N/A,4327473.85,2561433.89,1766039.96,1290430.04,475609.92,157683,40.81,10.99
2021-02-13,3,United States,Aerie,Intimates,N/A,6762927.17,3701926.16,3061001.01,2088564.13,972436.87,207789,45.26,14.38
2021-02-13,3,United States,Aerie,Swim,N/A,2914990.73,1801311.35,1113679.38,890852.69,222826.69,84128,38.21,7.64
2021-02-13,3,United States,Aerie,Tops,N/A,3092161.64,1954259.57,1137902.07,870122.04,267780.02,79076,36.8,8.66
2021-02-13,3,United States,American Eagle,Mens Apparel,Accessories,6585890.94,3888987.38,2696903.56,1868608.82,828294.74,143471,40.95,12.58
2021-02-13,3,United States,American Eagle,Mens Apparel,Active Bottoms,7534823.44,4243098.12,3291725.32,2315215.48,976509.84,152166,43.69,12.96
2021-02-13,3,United States,American Eagle,Mens Apparel,Jeans,11077331.77,6499030.06,4578301.71,3447349.86,1130951.84,322799,41.33,10.21
2021-02-13,3,United States,American Eagle,Mens Apparel,Others,5811510.68,3971485.55,1840025.13,1537514.29,302510.83,173654,31.66,5.21
2021-02-13,3,United States,American Eagle,Mens Apparel,Tops,10266718.05,6515334.56,3751383.49,2919127.44,832256.05,330825,36.54,8.11
2021-02-13,3,United States,American Eagle,Womens Apparel,Accessories,5937469.88,3043308.89,2894160.99,1660182.82,1233978.17,150432,48.74,20.78
2021-02-13,3,United States,American Eagle,Womens Apparel,Dresses,7086174.64,4254449.97,2831724.68,1915501.56,916223.12,190901,39.96,12.93
2021-02-13,3,United States,American Eagle,Womens Apparel,Jeans,14184453.07,8361719.57,5822733.5,3786304.5,2036429.0,346092,41.05,14.36
2021-02-13,3,United States,American Eagle,Womens Apparel,Others,5514659.99,3612385.54,1902274.45,1406482.8,495791.65,145236,34.49,8.99
2021-02-13,3,United States,American Eagle,Womens Apparel,Tops,11094691.41,6597700.81,4496990.6,3190233.31,1306757.29,262693,40.53,11.78
2021-02-20,4,Canada,Aerie,Accessories,N/A,638606.22,350499.36,288106.86,149653.5,138453.36,18062,45.11,21.68
2021-02-20,4,Canada,Aerie,Activewear,N/A,1846166.5,1142403.39,703763.11,497952.94,205810.17,48012,38.12,11.15
2021-02-20,4,Canada,Aerie,Intimates,N/A,2078185.08,1096339.16,981845.93,521990.39,459855.54,72658,47.25,22.13
2021-02-20,4,Canada,Aerie,Swim,N/A,1011868.35,602929.3,408939.05,281157.13,127781.92,36015,40.41,12.63
2021-02-20,4,Canada,Aerie,Tops,N/A,955347.94,553049.15,402298.79,261395.42,140903.36,34633,42.11,14.75
2021-02-20,4,Canada,American Eagle,Mens Apparel,Accessories,3299773.36,1712499.03,1587274.33,935153.98,652120.35,80055,48.1,19.76
2021-02-20,4,Canada,American Eagle,Mens Apparel,Active Bottoms,3765143.87,2234062.12,1531081.75,997877.09,533204.65,93182,40.66,14.16
2021-02-20,4,Canada,American Eagle,Mens Apparel,Jeans,6555257.15,3861055.04,2694202.1,1917130.83,777071.27,168036,41.1,11.85
2021-02-20,4,Canada,American Eagle,Mens Apparel,Others,3638525.5,2383158.82,1255366.68,1089488.85,165877.82,111336,34.5,4.56
2021-02-20,4,Canada,American Eagle,Mens Apparel,Tops,4693044.41,2859425.8,1833618.61,1413586.91,420031.7,126281,39.07,8.95
2021-02-20,4,Canada,American Eagle,Womens Apparel,Accessories,2554100.07,1321562.1,1232537.97,644649.68,587888.3,54058,48.26,23.02
2021-02-20,4,Canada,American Eagle,Womens Apparel,Dresses,3551362.78,2034013.05,1517349.74,1008596.58,508753.16,77756,42.73,14.33
2021-02-20,4,Canada,American Eagle,Womens Apparel,Jeans,7496147.2,4216159.24,3279987.96,2033907.08,1246080.88,247471,43.76,16.62
2021-02-20,4,Canada,American Eagle,Womens Apparel,Others,3257500.54,2065489.53,1192011.01,893767.91,298243.1,65674,36.59,9.16
2021-02-20,4,Canada,American Eagle,Womens Apparel,Tops,5251051.11,3144494.87,2106556.24,1285589.69,820966.55,138751,40.12,15.63
2021-02-20,4,United States,Aerie,Accessories,N/A,1349445.38,758371.44,591073.95,377986.23,213087.72,36935,43.8,15.79
2021-02-20,4,United States,Aerie,Activewear,N/A,3782001.19,2213078.62,1568922.58,1170654.83,398267.75,120932,41.48,10.53
2021-02-20,4,United States,Aerie,Intimates,N/A,5810992.99,2977997.83,2832995.16,1737536.16,1095459.0,164752,48.75,18.85
2021-02-20,4,United States,Aerie,Swim,N/A,2734155.99,1570737.88,1163418.11,780805.12,382612.98,85361,42.55,13.99
2021-02-20,4,United States,Aerie,Tops,N/A,2692150.5,1694395.14,997755.36,661561.82,336193.54,68071,37.06,12.49
2021-02-20,4,United States,American Eagle,Mens Apparel,Accessories,9633253.37,5319243.64,4314009.74,2774706.76,1539302.98,269731,44.78,15.98
2021-02-20,4,United States,American Eagle,Mens Apparel,Active Bottoms,8333534.07,5008153.21,3325380.85,2545251.01,780129.84,200001,39.9,9.36
2021-02-20,4,United States,American Eagle,Mens Apparel,Jeans,16699471.83,9231430.83,7468041.0,3995490.27,3472550.73,346986,44.72,20.79
2021-02-20,4,United States,American Eagle,Mens Apparel,Others,8636855.6,5534898.43,3101957.17,2430351.17,671606.0,173224,35.92,7.78
2021-02-20,4,United States,American Eagle,Mens Apparel,Tops,17246691.6,10699508.13,6547183.47,4483267.35,2063916.12,570571,37.96,11.97
2021-02-20,4,United States,American Eagle,Womens Apparel,Accessories,8844592.81,4691824.91,4152767.9,2219488.75,1933279.15,261965,46.95,21.86
2021-02-20,4,United States,American Eagle,Womens Apparel,Dresses,10607327.02,5861116.6,4746210.42,3008946.94,1737263.49,343180,44.74,16.38
2021-02-20,4,United States,American Eagle,Womens Apparel,Jeans,19646871.18,11356804.69,8290066.49,5197379.46,3092687.03,397822,42.2,15.74
2021-02-20,4,United States,American Eagle,Womens Apparel,Others,9645008.5,6678955.37,2966053.13,2599184.15,366868.98,231444,30.75,3.8
2021-02-20,4,United States,American Eagle,Womens Apparel,Tops,18298675.76,11196510.76,7102165.0,4965549.81,2136615.19,430039,38.81,11.68
2021-02-27,5,Canada,Aerie,Accessories,N/A,726082.83,396946.66,329136.17,211565.1,117571.07,24183,45.33,16.19
2021-02-27,5,Canada,Aerie,Activewear,N/A,1341809.82,832139.1,509670.73,325501.81,184168.92,37052,37.98,13.73
2021-02-27,5,Canada,Aerie,Intimates,N/A,2603591.51,1446045.31,1157546.2,778349.77,379196.43,69896,44.46,14.56
2021-02-27,5,Canada,Aerie,Swim,N/A,1095043.71,683551.15,411492.56,311772.4,99720.16,40930,37.58,9.11
2021-02-27,5,Canada,Aerie,Tops,N/A,975631.99,635726.72,339905.27,273490.2,66415.07,25345,34.84,6.81
2021-02-27,5,Canada,American Eagle,Mens Apparel,Accessories,2509803.2,1366952.13,1142851.07,842479.56,300371.5,80866,45.54,11.97
2021-02-27,5,Canada,American Eagle,Mens Apparel,Active Bottoms,2056095.94,1222977.28,833118.66,538519.63,294599.04,57476,40.52,14.33
2021-02-27,5,Canada,American Eagle,Mens Apparel,Jeans,5111143.86,3135114.85,1976029.01,1486664.12,489364.89,112605,38.66,9.57
2021-02-27,5,Canada,American Eagle,Mens Apparel,Others,2376149.61,1585386.66,790762.95,647046.66,143716.29,75994,33.28,6.05
2021-02-27,5,Canada,American Eagle,Mens Apparel,Tops,4454253.43,2850904.53,1603348.9,1272113.16,331235.74,127818,36.0,7.44
2021-02-27,5,Canada,American Eagle,Womens Apparel,Accessories,3280027.36,1781868.13,1498159.23,891388.31,606770.92,96379,45.68,18.5
2021-02-27,5,Canada,American Eagle,Womens Apparel,Dresses,2880535.75,1636755.33,1243780.42,834666.58,409113.84,61501,43.18,14.2
2021-02-27,5,Canada,American Eagle,Womens Apparel,Jeans,5323910.69,3006918.02,2316992.67,1608494.94,708497.73,127023,43.52,13.31
2021-02-27,5,Canada,American Eagle,Womens Apparel,Others,2742252.82,1799963.03,942289.79,797638.15,144651.63,67774,34.36,5.27
2021-02-27,5,Canada,American Eagle,Womens Apparel,Tops,5085040.11,3404093.1,1680947.01,1342766.35,338180.67,137517,33.06,6.65
2021-02-27,5,United States,Aerie,Accessories,N/A,1720586.53,920328.27,800258.26,499001.66,301256.6,44184,46.51,17.51
2021-02-27,5,United States,Aerie,Activewear,N/A,4821729.16,2937215.13,1884514.03,1289716.8,594797.23,175909,39.08,12.34
2021-02-27,5,United States,Aerie,Intimates,N/A,6982534.43,3573742.59,3408791.84,1759798.72,1648993.13,263226,48.82,23.62
2021-02-27,5,United States,Aerie,Swim,N/A,2511264.07,1436932.58,1074331.49,698889.37,375442.12,66116,42.78,14.95
2021-02-27,5,United States,Aerie,Tops,N/A,2576601.0,1642015.81,934585.19,723948.7,210636.49,82700,36.27,8.17
2021-02-27,5,United States,American Eagle,Mens Apparel,Accessories,4769235.79,2568084.96,2201150.83,1365074.53,836076.3,118538,46.15,17.53
2021-02-27,5,United States,American Eagle,Mens Apparel,Active Bottoms,7558425.04,4582026.74,2976398.29,2021648.29,954750.0,168154,39.38,12.63
2021-02-27,5,United States,American Eagle,Mens Apparel,Jeans,12845130.49,7140701.79,5704428.7,3815351.67,1889077.03,285668,44.41,14.71
2021-02-27,5,United States,American Eagle,Mens Apparel,Others,5514356.7,3575565.96,1938790.74,1712074.02,226716.71,158233,35.16,4.11
2021-02-27,5,United States,American Eagle,Mens Apparel,Tops,9548847.8,6021599.13,3527248.67,2563709.37,963539.3,255252,36.94,10.09
2021-02-27,5,United States,American Eagle,Womens Apparel,Accessories,5574397.31,3066285.98,2508111.34,1825540.36,682570.98,124127,44.99,12.24
2021-02-27,5,United States,American Eagle,Womens Apparel,Dresses,5893971.29,3160684.35,2733286.94,1754239.15,979047.79,128735,46.37,16.61
2021-02-27,5,United States,American Eagle,Womens Apparel,Jeans,9215202.65,5484216.05,3730986.61,2318129.62,1412856.99,303117,40.49,15.33
2021-02-27,5,United States,American Eagle,Womens Apparel,Others,6727942.95,4512733.58,2215209.37,1858212.27,356997.1,188587,32.93,5.31
2021-02-27,5,United States,American Eagle,Womens Apparel,Tops,9099994.94,5761092.74,3338902.19,2407271.72,931630.48,190334,36.69,10.24
2021-03-06,6,Canada,Aerie,Accessories,N/A,645929.08,363751.52,282177.56,168750.84,113426.73,16801,43.69,17.56
2021-03-06,6,Canada,Aerie,Activewear,N/A,1551490.98,965928.86,585562.12,418141.7,167420.41,44594,37.74,10.79
2021-03-06,6,Canada,Aerie,Intimates,N/A,1757143.37,949373.46,807769.91,464846.41,342923.51,50371,45.97,19.52
2021-03-06,6,Canada,Aerie,Swim,N/A,929964.52,531116.44,398848.08,253676.35,145171.73,26554,42.89,15.61
2021-03-06,6,Canada,Aerie,Tops,N/A,910725.67,571037.41,339688.26,250828.13,88860.13,31790,37.3,9.76
2021-03-06,6,Canada,American Eagle,Mens Apparel,Accessories,2335554.26,1260420.66,1075133.6,616627.87,458505.73,46769,46.03,19.63
2021-03-06,6,Canada,American Eagle,Mens Apparel,Active Bottoms,2257045.7,1364652.02,892393.68,663400.19,228993.5,54240,39.54,10.15
2021-03-06,6,Canada,American Eagle,Mens Apparel,Jeans,5238179.68,3073322.23,2164857.45,1641543.0,523314.45,151866,41.33,9.99
2021-03-06,6,Canada,American Eagle,Mens Apparel,Others,2557247.26,1530596.37,1026650.89,719057.96,307592.93,81592,40.15,12.03
2021-03-06,6,Canada,American Eagle,Mens Apparel,Tops,3845691.66,2395791.81,1449899.85,1076281.92,373617.93,100204,37.7,9.72
2021-03-06,6,Canada,American Eagle,Womens Apparel,Accessories,2277457.2,1268210.59,1009246.62,620769.2,388477.41,48214,44.31,17.06
2021-03-06,6,Canada,American Eagle,Womens Apparel,Dresses,2961062.11,1845295.49,1115766.62,706013.34,409753.27,71882,37.68,13.84
2021-03-06,6,Canada,American Eagle,Womens Apparel,Jeans,4793126.99,2715375.42,2077751.58,1331066.32,746685.26,141750,43.35,15.58
2021-03-06,6,Canada,American Eagle,Womens Apparel,Others,2561058.3,1637655.17,923403.13,759775.02,163628.11,67087,36.06,6.39
2021-03-06,6,Canada,American Eagle,Womens Apparel,Tops,4400561.52,2731230.8,1669330.72,1184329.74,485000.98,106559,37.93,11.02
2021-03-06,6,United States,Aerie,Accessories,N/A,2029599.7,1183453.77,846145.93,601702.05,244443.88,67215,41.69,12.04
2021-03-06,6,United States,Aerie,Activewear,N/A,6404908.91,3819390.23,2585518.69,1806196.54,779322.15,164720,40.37,12.17
2021-03-06,6,United States,Aerie,Intimates,N/A,7278764.54,3934686.35,3344078.19,2312030.34,1032047.85,232088,45.94,14.18
2021-03-06,6,United States,Aerie,Swim,N/A,3757848.67,2223751.06,1534097.62,1042171.62,491925.99,125144,40.82,13.09
2021-03-06,6,United States,Aerie,Tops,N/A,3052020.65,1899930.89,1152089.76,857967.25,294122.51,90112,37.75,9.64
2021-03-06,6,United States,American Eagle,Mens Apparel,Accessories,6938929.2,3853863.92,3085065.28,1807068.73,1277996.55,151023,44.46,18.42
2021-03-06,6,United States,American Eagle,Mens Apparel,Active Bottoms,7375054.53,4365732.19,3009322.33,2013754.7,995567.64,158859,40.8,13.5
2021-03-06,6,United States,American Eagle,Mens Apparel,Jeans,13468075.87,7475502.1,5992573.77,4031243.46,1961330.31,294243,44.49,14.56
2021-03-06,6,United States,American Eagle,Mens Apparel,Others,6133778.55,4054752.19,2079026.36,1835698.88,243327.47,143235,33.89,3.97
2021-03-06,6,United States,American Eagle,Mens Apparel,Tops,10767040.51,6774484.27,3992556.25,2831765.17,1160791.08,307895,37.08,10.78
2021-03-06,6,United States,American Eagle,Womens Apparel,Accessories,6523324.23,3242930.83,3280393.39,1800066.15,1480327.24,137499,50.29,22.69
2021-03-06,6,United States,American Eagle,Womens Apparel,Dresses,6943047.21,3866671.08,3076376.13,1936334.68,1140041.45,209968,44.31,16.42
2021-03-06,6,United States,American Eagle,Womens Apparel,Jeans,14062935.28,8040220.3,6022714.98,4465487.04,1557227.94,401385,42.83,11.07
2021-03-06,6,United States,American Eagle,Womens Apparel,Others,6437708.2,4170425.29,2267282.91,1896003.77,371279.13,146534,35.22,5.77
2021-03-06,6,United States,American Eagle,Womens Apparel,Tops,9549117.5,6018410.44,3530707.06,2706333.38,824373.68,251180,36.97,8.63
2021-03-13,7,Canada,Aerie,Accessories,N/A,857964.7,456990.35,400974.35,245086.75,155887.6,25058,46.74,18.17
2021-03-13,7,Canada,Aerie,Activewear,N/A,2300939.28,1404311.32,896627.96,648686.36,247941.6,80876,38.97,10.78
2021-03-13,7,Canada,Aerie,Intimates,N/A,2882182.7,1520116.8,1362065.9,802375.7,559690.21,76514,47.26,19.42
2021-03-13,7,Canada,Aerie,Swim,N/A,1238553.3,729253.52,509299.78,382638.11,126661.67,41588,41.12,10.23
2021-03-13,7,Canada,Aerie,Tops,N/A,1203793.53,771450.72,432342.81,367829.39,64513.42,33558,35.92,5.36
2021-03-13,7,Canada,American Eagle,Mens Apparel,Accessories,2115750.82,1180605.09,935145.72,613556.63,321589.09,48201,44.2,15.2
2021-03-13,7,Canada,American Eagle,Mens Apparel,Active Bottoms,2566986.32,1541988.09,1024998.23,809668.59,215329.64,58649,39.93,8.39
2021-03-13,7,Canada,American Eagle,Mens Apparel,Jeans,5363435.56,3172540.55,2190895.01,1514849.79,676045.21,134329,40.85,12.6
2021-03-13,7,Canada,American Eagle,Mens Apparel,Others,2639685.01,1682967.61,956717.4,656213.83,300503.57,70922,36.24,11.38
2021-03-13,7,Canada,American Eagle,Mens Apparel,Tops,3471279.86,2083661.97,1387617.9,947508.54,440109.35,110189,39.97,12.68
2021-03-13,7,Canada,American Eagle,Womens Apparel,Accessories,2491693.56,1349021.92,1142671.64,708024.08,434647.56,74132,45.86,17.44
2021-03-13,7,Canada,American Eagle,Womens Apparel,Dresses,2392488.06,1333432.09,1059055.97,596851.51,462204.46,48086,44.27,19.32
2021-03-13,7,Canada,American Eagle,Womens Apparel,Jeans,4351099.99,2543326.3,1807773.68,1310948.89,496824.79,97461,41.55,11.42
2021-03-13,7,Canada,American Eagle,Womens Apparel,Others,2711334.83,1755109.52,956225.31,783393.55,172831.76,54861,35.27,6.37
2021-03-13,7,Canada,American Eagle,Womens Apparel,Tops,4226968.93,2573396.4,1653572.53,1274919.83,378652.7,96405,39.12,8.96
2021-03-13,7,United States,Aerie,Accessories,N/A,2160796.97,1180450.47,980346.5,567928.41,412418.09,84844,45.37,19.09
2021-03-13,7,United States,Aerie,Activewear,N/A,5161462.6,3132802.69,2028659.91,1465706.56,562953.35,151596,39.3,10.91
2021-03-13,7,United States,Aerie,Intimates,N/A,5880480.36,3384754.74,2495725.62,1573049.83,922675.78,213880,42.44,15.69
2021-03-13,7,United States,Aerie,Swim,N/A,2671307.66,1518693.6,1152614.07,654279.45,498334.62,83112,43.15,18.66
2021-03-13,7,United States,Aerie,Tops,N/A,2899931.76,1879542.11,1020389.64,758434.62,261955.02,81036,35.19,9.03
2021-03-13,7,United States,American Eagle,Mens Apparel,Accessories,5700878.88,3197613.74,2503265.14,1641754.62,861510.52,120349,43.91,15.11
